Price,Close,High,Low,Open,Volume
Ticker,2025.TW,2025.TW,2025.TW,2025.TW,2025.TW
Date,,,,,
2025-01-02,15.698158264160156,15.714442253112793,14.73737907409668,15.193340301513672,514628
2025-01-03,15.470174789428711,16.040130615234375,15.144487380981445,16.040130615234375,292836
2025-01-06,15.225910186767578,15.470174789428711,15.063065528869629,15.242195129394531,281209
2025-01-07,15.193340301513672,15.323616981506348,14.900221824645996,15.307331085205078,347634
2025-01-08,15.61673641204834,15.681872367858887,14.85136890411377,15.193340301513672,553067
2025-01-09,15.258479118347168,15.681872367858887,15.030495643615723,15.61673641204834,235142
2025-01-10,15.307331085205078,15.307331085205078,15.014212608337402,15.014212608337402,289240
2025-01-13,15.128204345703125,15.405038833618164,14.835084915161133,15.388753890991211,362609
2025-01-14,16.07269859313965,16.610082626342773,15.046781539916992,15.160773277282715,527641
2025-01-15,16.15412139892578,16.691505432128906,15.714442253112793,15.714442253112793,504240
2025-01-16,17.424301147460938,17.749990463256836,16.15412139892578,16.15412139892578,1211232
2025-01-17,17.424301147460938,17.668569564819336,16.93577003479004,17.668569564819336,342844
2025-01-20,17.424301147460938,17.424301147460938,16.85434913635254,17.180038452148438,333263
2025-01-21,17.424301147460938,17.749990463256836,17.180038452148438,17.749990463256836,163630
2025-01-22,17.587146759033203,18.238521575927734,17.180038452148438,17.261457443237305,1250164
2025-02-03,17.261457443237305,17.424301147460938,16.772926330566406,16.772926330566406,453685
2025-02-04,17.098613739013672,17.34288215637207,16.691505432128906,17.261457443237305,676983
2025-02-12,16.649999618530273,17.799999237060547,16.200000762939453,17.700000762939453,725987
2025-02-13,16.700000762939453,17.200000762939453,16.149999618530273,16.5,1088391
2025-02-14,16.899999618530273,16.950000762939453,16.25,16.600000381469727,671345
2025-02-17,17.350000381469727,17.5,16.5,16.899999618530273,987146
2025-02-18,18.100000381469727,18.5,17.100000381469727,17.25,916683
2025-02-19,18.450000762939453,19.0,18.0,18.049999237060547,1368491
2025-02-20,19.450000762939453,19.450000762939453,18.350000381469727,18.350000381469727,1863225
2025-02-21,19.450000762939453,19.799999237060547,18.799999237060547,19.5,1157303
2025-02-24,19.299999237060547,19.600000381469727,19.200000762939453,19.450000762939453,482919
2025-02-25,19.200000762939453,19.350000381469727,19.0,19.299999237060547,368536
2025-02-26,18.75,19.25,18.75,19.0,335017
2025-02-27,18.100000381469727,18.850000381469727,18.0,18.799999237060547,469989
2025-03-03,17.700000762939453,18.0,17.600000381469727,17.799999237060547,253920
2025-03-04,17.649999618530273,17.799999237060547,17.200000762939453,17.5,228005
2025-03-05,17.649999618530273,17.950000762939453,17.5,17.649999618530273,173054
2025-03-06,17.200000762939453,17.700000762939453,17.200000762939453,17.649999618530273,284217
2025-03-07,18.100000381469727,18.399999618530273,17.049999237060547,17.100000381469727,313646
2025-03-10,17.399999618530273,17.799999237060547,17.399999618530273,17.799999237060547,233416
2025-03-11,17.649999618530273,17.649999618530273,16.899999618530273,17.100000381469727,292219
2025-03-12,17.700000762939453,18.100000381469727,17.350000381469727,17.649999618530273,211430
2025-03-13,17.600000381469727,17.950000762939453,17.100000381469727,17.700000762939453,204782
2025-03-14,17.549999237060547,17.700000762939453,17.299999237060547,17.299999237060547,170698
2025-03-17,17.399999618530273,17.799999237060547,17.299999237060547,17.299999237060547,125669
2025-03-18,17.5,17.5,17.200000762939453,17.350000381469727,195368
2025-03-19,17.5,17.549999237060547,17.149999618530273,17.549999237060547,121117
2025-03-20,17.399999618530273,17.5,17.200000762939453,17.5,168928
2025-03-21,17.350000381469727,17.399999618530273,17.200000762939453,17.350000381469727,118380
2025-03-24,16.899999618530273,17.700000762939453,16.899999618530273,17.350000381469727,454117
2025-03-25,16.350000381469727,17.0,16.200000762939453,17.0,348316
2025-03-26,15.899999618530273,16.450000762939453,15.800000190734863,16.350000381469727,345183
2025-03-27,15.800000190734863,16.200000762939453,15.649999618530273,15.850000381469727,240148
2025-03-28,15.149999618530273,15.800000190734863,15.050000190734863,15.800000190734863,220303
